상권_코드,상권_코드_명_x,경도(WGS84),위도(WGS84),기준_년분기_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
3110382,솔밭공원역 1번,127.01325,37.655972,20241,CS100001,한식음식점,174000000,22343336,14798793,17583108,21078756,28035584,36277220,33883203,20600723,0,3839154,5832194,83056596,60671333,102403356,70708764,2193127,23884331,36249779,45013082,50857868,14913933
3110382,솔밭공원역 1번,127.01325,37.655972,20242,CS100001,한식음식점,174000000,18117022,19652708,23125459,24671848,25426607,32056446,30949910,16876477,0,2615772,7337314,77942063,69228374,103418423,70581577,546137,22357253,39278130,40106417,46929748,24782315
3110382,솔밭공원역 1번,127.01325,37.655972,20243,CS100001,한식음식점,174000000,34919437,14266213,14190949,17552038,23226528,30763697,39081138,18566011,0,1253182,4418506,81958592,67803709,100744910,73255090,1213345,24381004,46465422,37956307,45329630,18654292
3110382,솔밭공원역 1번,127.01325,37.655972,20244,CS100001,한식음식점,196409488,21304271,22402393,19410318,18502271,35826319,44893656,34070260,13640803,0,686223,10094808,91248489,80739165,118879553,76675540,523688,18915622,50345992,49655469,50467508,25646814
3110382,솔밭공원역 1번,127.01325,37.655972,20241,CS100008,분식전문점,217718626,18529012,33529364,30081314,32045805,30150665,38320024,35062442,0,29844411,79650399,37440761,69960405,822650,117728368,92397823,613660,11512779,42407426,51514270,58612596,45465458
3110382,솔밭공원역 1번,127.01325,37.655972,20242,CS100008,분식전문점,238120871,23394698,36496784,34027583,34593639,32790794,39235457,37581916,235792,44322136,78831660,41113707,72281425,1336151,120119678,112428295,666331,13799518,36503912,50155021,71230855,60192336
3110382,솔밭공원역 1번,127.01325,37.655972,20243,CS100008,분식전문점,224891648,25311419,30261074,29701174,33108444,32144875,34654245,39710417,225312,43778464,80146770,37242378,62990462,508262,118969627,105922021,1123541,22624746,30542526,50364270,63896601,56339964
3110382,솔밭공원역 1번,127.01325,37.655972,20244,CS100008,분식전문점,194029550,18753276,28514431,25429938,29728393,26792210,32379685,32431617,110036,42993831,61810117,35451904,53008686,654976,93019156,88392076,1022938,17254290,26178083,40898129,53973514,42084277
3110382,솔밭공원역 1번,127.01325,37.655972,20241,CS100009,호프-간이주점,33729625,8569210,2712808,2875809,4540750,4994825,4447607,5588616,5262613,0,0,1304010,11386805,15776197,23879690,9849935,267788,780078,4761967,5763260,11677879,10478653
3110382,솔밭공원역 1번,127.01325,37.655972,20242,CS100009,호프-간이주점,34940491,2852523,3877102,4238034,4971539,2701165,9069857,7230271,3923674,0,0,267788,14693402,16055627,23024241,11916250,0,1036222,2440751,6490623,11571834,13401061
3110382,솔밭공원역 1번,127.01325,37.655972,20243,CS100009,호프-간이주점,24170763,5693404,3737387,2235446,3783958,3842173,1187581,3690814,1187581,0,0,186287,11934023,10862872,11675225,12495538,0,974839,1345982,3546358,9556701,8746883
3110382,솔밭공원역 1번,127.01325,37.655972,20244,CS100009,호프-간이주점,16602846,3120311,2305304,3027167,1373868,3155239,2153945,1467012,1362225,0,0,454075,10362225,4424321,10910627,5692219,0,605433,1342270,3340488,4006249,7308406
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100001,한식음식점,159201929,15995909,24140088,24066624,21331503,22230658,25850782,25586365,0,2931486,76889016,25994458,52991231,395738,67176976,81907246,935949,19848276,18882423,27353586,43232966,38831021
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100001,한식음식점,222146424,30367176,38188099,34746358,34927886,28064159,26785199,29067547,0,5480920,92524747,39581142,81954339,2605276,89256891,125913595,4041707,44016221,25528366,37728031,57357979,46498180
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100001,한식음식점,187505462,24143631,24078710,28922424,29123330,30601645,26439913,24195809,0,6398250,81839166,26157703,67052252,6058091,86131333,94488285,1501240,25726454,28260014,29691416,51288291,44152203
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100001,한식음식점,233843376,32738986,41022457,39344163,37395226,29797256,28476290,25068998,0,10178716,105034103,34098002,82685777,1846778,98894751,128424090,2847394,50735066,24061766,36159063,63882612,49632940
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100002,중식음식점,76415848,1230431,11392536,13899906,12213548,10807395,13801954,13070078,571271,772178,30403131,14718231,28886966,1064071,44055935,30595877,468286,7307575,11804295,13159010,22172165,19740482
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100002,중식음식점,189968340,14247257,23470811,27566787,21648831,26129028,35304526,41601100,4275118,2570294,62556399,38809027,76848335,4909167,103086297,74467877,555201,18370988,27626611,38561137,54713396,37726841
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100002,중식음식점,83428745,4325341,13437699,11460577,12363200,13949743,14021231,13870954,1274375,1866295,28912895,18630281,30302872,2442027,52786802,28670744,370080,6365735,11393531,15100406,26162765,22065030
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100002,중식음식점,104189676,1694981,18218345,13233315,14944600,16921372,18535696,20641367,3584571,1457376,39455427,21859446,35660769,2172087,58570638,41654916,928912,12543854,11949161,19660511,31625424,23517694
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100003,일식음식점,104487658,18150734,14108698,12527073,16071010,12234500,15286747,16108896,9529060,4093045,34027241,14335063,31401404,11101845,43130532,58506256,2636742,22596129,20799952,22234935,25834138,7534892
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100003,일식음식점,130830556,22195141,18355161,21511465,15883523,15066118,18154315,19664833,5764737,7552177,46818290,19669614,43247775,7777963,46309464,83549447,4746634,32110886,23021929,25330437,34161606,10487418
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100003,일식음식점,105698351,15388465,15215903,13145373,14341181,11990853,17523150,18093426,9022418,4032341,36930300,12226491,34445700,9041101,39577994,66120357,2413827,22590840,19811917,24949025,28380939,7551803
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100003,일식음식점,126587684,19105242,20326097,17763671,20340264,13473133,15899307,19679970,7099414,5755191,44736043,20063394,40125308,8808334,45247101,80870777,4779202,34446108,16959497,22887311,35775054,11270706
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100004,양식음식점,112918774,18205194,20576701,20175528,18049295,15098424,12003612,8810020,6562875,3390907,48213496,23723325,29877631,1150540,37636262,66262261,1232765,33580052,15790833,22595654,22741885,7957334
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100004,양식음식점,130785811,27319108,25452026,25280301,24795602,19993249,7945525,0,973148,5353232,56938036,31030591,36006580,484224,34631168,94550486,5097125,53887600,14072450,20601350,29124871,6398260
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100004,양식음식점,71074962,15237789,14463812,11470627,13856167,9776875,6269692,0,202152,2203702,33098762,14130017,20434273,1006056,20630434,45661134,1959932,24825399,10175881,12828090,12709211,3793054
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100004,양식음식점,146423213,29540667,27696060,26879941,25965756,21484499,9924216,4932074,173944,3593083,69871755,30014732,41627301,1142398,39360287,99681675,4468796,54177496,15733337,24835582,31209470,8617279
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100006,패스트푸드점,287749555,41214476,38206668,31755566,43524314,35658708,46803288,50586535,0,6245230,61203713,62573715,97941395,59785502,176057919,111691636,1825164,34915114,64483423,80428525,67636989,38460340
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100006,패스트푸드점,273340229,33603690,35488658,37829467,34995855,38763027,47984527,44675005,0,6362673,59236074,62103423,95366492,50271567,165557573,107782656,2676940,36851506,59738239,71337243,62685345,40050956
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100006,패스트푸드점,256688240,32278190,31767311,36505234,37803018,34897916,38867921,44568650,0,3930902,55024275,57433317,91267322,49032424,145657193,106193988,2101772,31629162,54570647,76220735,53672951,33655913
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100006,패스트푸드점,262766654,33396551,43992936,38484618,37488649,36673339,33148768,39581793,0,2782950,54577713,64050912,88854504,52500575,147805932,101647006,3524311,38486541,53139375,66286363,55341047,32675301
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100008,분식전문점,192562288,21852760,24204221,24718099,24977924,23262755,34892324,38654205,0,4215997,61037499,56579801,68432282,2296709,86718066,103205608,3904541,25195705,34463962,59001510,53848027,13509929
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100008,분식전문점,226217564,24561727,32753170,33072856,26521416,25420189,43145230,40742976,0,5319500,68454664,56792143,93162939,2488318,92108628,130795328,3376084,33246394,40399003,65143906,66711453,14027116
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100008,분식전문점,194703934,21462079,24548463,23435754,22566806,25152167,34972955,42565710,0,4769958,54509432,50887871,84120208,416465,89353514,105350420,2419118,23827287,32918909,65063832,57334710,13140078
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100008,분식전문점,205208411,20065437,25730923,26765566,28187018,20425319,35129972,48904176,0,2959065,63507375,62376993,75410441,954537,91950839,113257572,3409876,30871199,28031906,65420265,63061681,14413484
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100010,커피-음료,106694563,15389780,16284117,18229431,18098126,14376254,11805563,12511292,0,17031168,44176233,32259729,12584588,642845,35384195,71310368,2830942,32788953,17029370,18270921,27249261,8525116
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100010,커피-음료,282308488,40035312,44066178,45658078,45797169,38040280,31905203,36806268,0,50870192,99409867,73626649,52175998,6225782,89546018,192295664,9223928,94224237,47512374,48662300,62292701,19926142
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100010,커피-음료,198367019,31114367,27781902,27467676,26602852,26345400,29457900,29596922,0,37285410,71306717,50961429,35611174,3202289,75093216,116395652,3000441,43717552,42972784,39438505,43011099,19348485
