상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3110382,솔밭공원역 1번,CS100001,한식음식점,3,3,0,0,0,0,0
3110382,솔밭공원역 1번,CS100003,일식음식점,1,1,0,0,0,0,0
3110382,솔밭공원역 1번,CS100005,제과점,1,2,0,0,0,0,1
3110382,솔밭공원역 1번,CS100007,치킨전문점,0,0,0,0,0,1,0
3110382,솔밭공원역 1번,CS100008,분식전문점,2,3,33,1,33,1,1
3110382,솔밭공원역 1번,CS100009,호프-간이주점,4,4,0,0,0,0,0
3110382,솔밭공원역 1번,CS100010,커피-음료,1,2,0,0,0,0,1
3110382,솔밭공원역 1번,CS300009,청과상,3,3,0,0,0,0,0
3110383,덕성여대시반거리,CS100001,한식음식점,4,7,0,0,0,0,3
3110383,덕성여대시반거리,CS100002,중식음식점,3,3,0,0,0,0,0
3110383,덕성여대시반거리,CS100003,일식음식점,5,5,0,0,0,0,0
3110383,덕성여대시반거리,CS100004,양식음식점,6,7,0,0,0,0,1
3110383,덕성여대시반거리,CS100005,제과점,2,2,0,0,0,0,0
3110383,덕성여대시반거리,CS100006,패스트푸드점,1,3,0,0,0,0,2
3110383,덕성여대시반거리,CS100008,분식전문점,4,5,0,0,0,0,1
3110383,덕성여대시반거리,CS100010,커피-음료,10,13,0,0,0,0,3
3110386,연산군묘,CS100001,한식음식점,3,3,0,0,0,0,0
3110386,연산군묘,CS100004,양식음식점,1,1,0,0,0,0,0
3110386,연산군묘,CS100007,치킨전문점,0,1,0,0,0,0,1
3110386,연산군묘,CS100010,커피-음료,1,1,100,1,0,0,0
3110386,연산군묘,CS300010,반찬가게,1,1,0,0,0,0,0
3110387,쌍문초등학교,CS100001,한식음식점,12,13,0,0,0,0,1
3110387,쌍문초등학교,CS100002,중식음식점,2,2,0,0,0,0,0
3110387,쌍문초등학교,CS100003,일식음식점,1,1,0,0,0,0,0
3110387,쌍문초등학교,CS100005,제과점,1,2,0,0,0,0,1
3110387,쌍문초등학교,CS100007,치킨전문점,2,3,0,0,0,0,1
3110387,쌍문초등학교,CS100008,분식전문점,4,4,0,0,0,0,0
3110387,쌍문초등학교,CS100009,호프-간이주점,1,1,0,0,0,0,0
3110387,쌍문초등학교,CS100010,커피-음료,4,6,0,0,33,2,2
3110387,쌍문초등학교,CS300009,청과상,2,2,0,0,0,0,0
3110387,쌍문초등학교,CS300010,반찬가게,5,5,0,0,0,0,0
3110388,도봉우체국,CS100001,한식음식점,6,6,17,1,0,0,0
3110388,도봉우체국,CS100003,일식음식점,1,1,0,0,0,0,0
3110388,도봉우체국,CS100004,양식음식점,1,1,0,0,0,0,0
3110388,도봉우체국,CS100006,패스트푸드점,0,1,0,0,0,0,1
3110388,도봉우체국,CS100007,치킨전문점,0,1,0,0,0,0,1
3110388,도봉우체국,CS100009,호프-간이주점,3,4,0,0,0,0,1
3110388,도봉우체국,CS100010,커피-음료,2,4,0,0,0,0,2
3110388,도봉우체국,CS200019,PC방,1,1,0,0,0,0,0
3110388,도봉우체국,CS300009,청과상,1,1,0,0,0,0,0
3110389,한일병원,CS100001,한식음식점,7,9,11,1,0,0,2
3110389,한일병원,CS100002,중식음식점,1,1,0,0,0,0,0
3110389,한일병원,CS100004,양식음식점,2,2,0,0,0,0,0
3110389,한일병원,CS100005,제과점,1,1,0,0,0,0,0
3110389,한일병원,CS100006,패스트푸드점,1,1,0,0,0,0,0
3110389,한일병원,CS100007,치킨전문점,1,1,0,0,0,0,0
3110389,한일병원,CS100008,분식전문점,1,2,0,0,0,0,1
3110389,한일병원,CS100009,호프-간이주점,1,1,0,0,0,0,0
3110389,한일병원,CS100010,커피-음료,3,4,0,0,0,0,1
3110389,한일병원,CS300010,반찬가게,1,1,0,0,0,0,0
3110390,방학초등학교,CS100001,한식음식점,18,21,0,0,0,0,3
3110390,방학초등학교,CS100002,중식음식점,2,4,0,0,0,0,2
3110390,방학초등학교,CS100004,양식음식점,1,1,0,0,0,0,0
3110390,방학초등학교,CS100005,제과점,1,2,0,0,50,1,1
3110390,방학초등학교,CS100006,패스트푸드점,1,3,0,0,0,0,2
3110390,방학초등학교,CS100007,치킨전문점,2,2,0,0,0,0,0
3110390,방학초등학교,CS100008,분식전문점,4,5,0,0,0,0,1
3110390,방학초등학교,CS100009,호프-간이주점,5,5,0,0,0,0,0
3110390,방학초등학교,CS100010,커피-음료,4,6,0,0,0,0,2
3110390,방학초등학교,CS300009,청과상,4,4,0,0,0,0,0
3110390,방학초등학교,CS300010,반찬가게,4,4,0,0,0,0,0
3110391,샘말어린이공원,CS100001,한식음식점,9,10,0,0,0,0,1
3110391,샘말어린이공원,CS100002,중식음식점,2,2,0,0,0,0,0
3110391,샘말어린이공원,CS100005,제과점,2,2,0,0,0,0,0
3110391,샘말어린이공원,CS100007,치킨전문점,0,1,0,0,100,1,1
3110391,샘말어린이공원,CS100008,분식전문점,2,2,0,0,0,0,0
3110391,샘말어린이공원,CS100009,호프-간이주점,2,2,0,0,0,0,0
3110391,샘말어린이공원,CS100010,커피-음료,3,3,0,0,0,0,0
3110391,샘말어린이공원,CS300009,청과상,2,2,0,0,0,0,0
3110391,샘말어린이공원,CS300010,반찬가게,4,4,0,0,0,0,0
3110393,국민은행방학지점,CS100001,한식음식점,4,5,0,0,0,0,1
3110393,국민은행방학지점,CS100002,중식음식점,2,2,0,0,0,0,0
3110393,국민은행방학지점,CS100004,양식음식점,1,1,0,0,0,0,0
3110393,국민은행방학지점,CS100005,제과점,2,2,0,0,0,0,0
3110393,국민은행방학지점,CS100006,패스트푸드점,0,2,0,0,0,0,2
3110393,국민은행방학지점,CS100007,치킨전문점,0,1,0,0,0,0,1
3110393,국민은행방학지점,CS100008,분식전문점,2,2,0,0,0,0,0
3110393,국민은행방학지점,CS100009,호프-간이주점,0,2,0,0,0,0,2
3110393,국민은행방학지점,CS100010,커피-음료,2,3,0,0,0,0,1
3110393,국민은행방학지점,CS300009,청과상,1,1,0,0,0,0,0
3110394,방학중학교,CS100001,한식음식점,35,35,9,3,9,3,0
3110394,방학중학교,CS100002,중식음식점,1,1,0,0,0,0,0
3110394,방학중학교,CS100003,일식음식점,0,1,0,0,0,0,1
3110394,방학중학교,CS100004,양식음식점,0,2,0,0,0,0,2
3110394,방학중학교,CS100005,제과점,1,2,0,0,0,0,1
3110394,방학중학교,CS100006,패스트푸드점,1,1,0,0,0,0,0
3110394,방학중학교,CS100007,치킨전문점,1,3,0,0,0,0,2
3110394,방학중학교,CS100008,분식전문점,6,6,0,0,17,1,0
3110394,방학중학교,CS100009,호프-간이주점,3,3,0,0,0,0,0
