상권_코드,상권_코드_명,기준_년분기_코드,임대료
3110382,솔밭공원역 1번,20221,80168
3110382,솔밭공원역 1번,20222,68229
3110382,솔밭공원역 1번,20223,68513
3110382,솔밭공원역 1번,20224,71847
3110382,솔밭공원역 1번,20231,88401
3110382,솔밭공원역 1번,20232,118850
3110382,솔밭공원역 1번,20233,126293
3110382,솔밭공원역 1번,20234,130858
3110382,솔밭공원역 1번,20241,117918
3110382,솔밭공원역 1번,20242,84700
3110382,솔밭공원역 1번,20243,84203
3110382,솔밭공원역 1번,20244,88691
3110383,덕성여대시반거리,20221,80168
3110383,덕성여대시반거리,20222,68229
3110383,덕성여대시반거리,20223,68513
3110383,덕성여대시반거리,20224,71847
3110383,덕성여대시반거리,20231,88401
3110383,덕성여대시반거리,20232,118850
3110383,덕성여대시반거리,20233,126293
3110383,덕성여대시반거리,20234,130858
3110383,덕성여대시반거리,20241,117918
3110383,덕성여대시반거리,20242,84700
3110383,덕성여대시반거리,20243,84203
3110383,덕성여대시반거리,20244,88691
3110386,연산군묘,20221,82209
3110386,연산군묘,20222,88791
3110386,연산군묘,20223,77298
3110386,연산군묘,20224,74211
3110386,연산군묘,20231,87355
3110386,연산군묘,20232,101421
3110386,연산군묘,20233,128133
3110386,연산군묘,20234,116123
3110386,연산군묘,20241,122643
3110386,연산군묘,20242,126627
3110386,연산군묘,20243,95263
3110386,연산군묘,20244,127123
3110387,쌍문초등학교,20221,80168
3110387,쌍문초등학교,20222,68229
3110387,쌍문초등학교,20223,68513
3110387,쌍문초등학교,20224,71847
3110387,쌍문초등학교,20231,88401
3110387,쌍문초등학교,20232,118850
3110387,쌍문초등학교,20233,126293
3110387,쌍문초등학교,20234,130858
3110387,쌍문초등학교,20241,117918
3110387,쌍문초등학교,20242,84700
3110387,쌍문초등학교,20243,84203
3110387,쌍문초등학교,20244,88691
3110388,도봉우체국,20221,82162
3110388,도봉우체국,20222,83488
3110388,도봉우체국,20223,103604
3110388,도봉우체국,20224,107808
3110388,도봉우체국,20231,133035
3110388,도봉우체국,20232,126606
3110388,도봉우체국,20233,161050
3110388,도봉우체국,20234,161858
3110388,도봉우체국,20241,126548
3110388,도봉우체국,20242,105605
3110388,도봉우체국,20243,89948
3110388,도봉우체국,20244,87703
3110389,한일병원,20221,82162
3110389,한일병원,20222,83488
3110389,한일병원,20223,103604
3110389,한일병원,20224,107808
3110389,한일병원,20231,133035
3110389,한일병원,20232,126606
3110389,한일병원,20233,161050
3110389,한일병원,20234,161858
3110389,한일병원,20241,126548
3110389,한일병원,20242,105605
3110389,한일병원,20243,89948
3110389,한일병원,20244,87703
3110390,방학초등학교,20221,64715
3110390,방학초등학교,20222,69667
3110390,방학초등학교,20223,67209
3110390,방학초등학교,20224,75837
3110390,방학초등학교,20231,84746
3110390,방학초등학교,20232,86530
3110390,방학초등학교,20233,94895
3110390,방학초등학교,20234,97003
3110390,방학초등학교,20241,92647
3110390,방학초등학교,20242,86076
3110390,방학초등학교,20243,80131
3110390,방학초등학교,20244,75865
3110391,샘말어린이공원,20221,64715
3110391,샘말어린이공원,20222,69667
3110391,샘말어린이공원,20223,67209
3110391,샘말어린이공원,20224,75837
3110391,샘말어린이공원,20231,84746
3110391,샘말어린이공원,20232,86530
3110391,샘말어린이공원,20233,94895
3110391,샘말어린이공원,20234,97003
3110391,샘말어린이공원,20241,92647
3110391,샘말어린이공원,20242,86076
3110391,샘말어린이공원,20243,80131
3110391,샘말어린이공원,20244,75865
3110393,국민은행방학지점,20221,82209
3110393,국민은행방학지점,20222,88791
3110393,국민은행방학지점,20223,77298
3110393,국민은행방학지점,20224,74211
3110393,국민은행방학지점,20231,87355
3110393,국민은행방학지점,20232,101421
3110393,국민은행방학지점,20233,128133
3110393,국민은행방학지점,20234,116123
3110393,국민은행방학지점,20241,122643
3110393,국민은행방학지점,20242,126627
3110393,국민은행방학지점,20243,95263
3110393,국민은행방학지점,20244,127123
3110394,방학중학교,20221,64715
3110394,방학중학교,20222,69667
