기준_년분기_코드,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20191,CS100001,한식음식점,1184,1308,5.1,67,5,66,124
20192,CS100001,한식음식점,1196,1320,5.1,67,4.2,55,124
20193,CS100001,한식음식점,1198,1323,4.8,64,4.6,61,125
20194,CS100001,한식음식점,1197,1324,4.5,59,4.4,58,127
20201,CS100001,한식음식점,1187,1312,3,40,4,52,125
20202,CS100001,한식음식점,1193,1323,4.4,58,3.6,47,130
20203,CS100001,한식음식점,1198,1328,4.2,56,3.2,42,130
20204,CS100001,한식음식점,1208,1337,5.2,70,4.6,61,129
20211,CS100001,한식음식점,1221,1351,3.3,44,2.2,30,130
20212,CS100001,한식음식점,1221,1357,4.1,56,3.7,50,136
20213,CS100001,한식음식점,1218,1357,3.1,42,3.1,42,139
20214,CS100001,한식음식점,1223,1363,3.5,48,3.1,42,140
20221,CS100001,한식음식점,1221,1363,2.2,30,2.2,30,142
20222,CS100001,한식음식점,1217,1358,2.6,35,2.9,40,141
20223,CS100001,한식음식점,1187,1327,2.5,33,4.8,64,140
20224,CS100001,한식음식점,1188,1326,3.9,52,4,53,138
20231,CS100001,한식음식점,1178,1316,3.1,41,3.9,51,138
20232,CS100001,한식음식점,1163,1305,3.5,46,4.4,57,142
20233,CS100001,한식음식점,1167,1307,4.7,61,4.5,59,140
20234,CS100001,한식음식점,1163,1298,2.9,38,3.6,47,135
20241,CS100001,한식음식점,1183,1327,5.2,69,3,40,144
20242,CS100001,한식음식점,1180,1323,3.9,51,4.2,55,143
20243,CS100001,한식음식점,1173,1317,3.9,51,4.3,57,144
20244,CS100001,한식음식점,1172,1315,3,40,3.2,42,143
20191,CS100002,중식음식점,78,80,5,4,2.5,2,2
20192,CS100002,중식음식점,77,79,6.3,5,7.6,6,2
20193,CS100002,중식음식점,78,81,7.4,6,4.9,4,3
20194,CS100002,중식음식점,77,80,2.5,2,3.8,3,3
20201,CS100002,중식음식점,77,80,3.8,3,3.8,3,3
20202,CS100002,중식음식점,81,84,6,5,1.2,1,3
20203,CS100002,중식음식점,81,85,7.1,6,4.7,4,4
20204,CS100002,중식음식점,82,85,7.1,6,7.1,6,3
20211,CS100002,중식음식점,81,84,1.2,1,2.4,2,3
20212,CS100002,중식음식점,88,91,12.1,11,4.4,4,3
20213,CS100002,중식음식점,89,92,3.3,3,2.2,2,3
20214,CS100002,중식음식점,92,98,9.2,9,3.1,3,6
20221,CS100002,중식음식점,91,98,4.1,4,4.1,4,7
20222,CS100002,중식음식점,90,97,2.1,2,3.1,3,7
20223,CS100002,중식음식점,84,91,4.4,4,11,10,7
20224,CS100002,중식음식점,84,91,4.4,4,4.4,4,7
20231,CS100002,중식음식점,84,91,5.5,5,5.5,5,7
20232,CS100002,중식음식점,79,87,2.3,2,6.9,6,8
20233,CS100002,중식음식점,79,87,2.3,2,2.3,2,8
20234,CS100002,중식음식점,80,88,4.5,4,3.4,3,8
20241,CS100002,중식음식점,79,88,4.5,4,4.5,4,9
20242,CS100002,중식음식점,82,91,7.7,7,4.4,4,9
20243,CS100002,중식음식점,79,87,1.1,1,5.7,5,8
20244,CS100002,중식음식점,81,88,3.4,3,2.3,2,7
20191,CS100003,일식음식점,71,80,5,4,6.3,5,9
20192,CS100003,일식음식점,72,81,4.9,4,3.7,3,9
20193,CS100003,일식음식점,71,80,5,4,6.3,5,9
20194,CS100003,일식음식점,68,77,1.3,1,5.2,4,9
20201,CS100003,일식음식점,70,79,2.5,2,0,0,9
